"diseaseNID"	"diseaseId"	"diseaseName"	"type"
"1"	"C0000727"	"Abdomen, Acute"	"phenotype"
"2"	"C0000729"	"Abdominal Cramps"	"phenotype"
"3"	"C0000731"	"Abdomen distended"	"phenotype"
"4"	"C0000734"	"Abdominal mass"	"phenotype"
"5"	"C0000735"	"Abdominal Neoplasms"	"group"
"6"	"C0000737"	"Abdominal Pain"	"phenotype"
"7"	"C0000744"	"Abetalipoproteinemia"	"disease"
"8"	"C0000768"	"Congenital Abnormality"	"group"
"9"	"C0000771"	"Abnormalities, Drug-Induced"	"group"
"10"	"C0000772"	"Multiple congenital anomalies"	"group"
"11"	"C0000786"	"Spontaneous abortion"	"phenotype"
"12"	"C0000809"	"Abortion, Habitual"	"disease"
"13"	"C0000821"	"Threatened abortion"	"phenotype"
"14"	"C0000822"	"Abortion, Tubal"	"phenotype"
"15"	"C0000832"	"Abruptio Placentae"	"phenotype"
"16"	"C0000833"	"Abscess"	"phenotype"
"17"	"C0000846"	"Agenesis"	"disease"
"18"	"C0000880"	"Acanthamoeba Keratitis"	"disease"
"19"	"C0000887"	"Acantholysis"	"phenotype"
"20"	"C0000889"	"Acanthosis Nigricans"	"disease"
"21"	"C0000921"	"Accidental Falls"	"phenotype"
"22"	"C0001075"	"Achlorhydria"	"phenotype"
"23"	"C0001079"	"Achondrogenesis"	"disease"
"24"	"C0001080"	"Achondroplasia"	"disease"
"25"	"C0001122"	"Acidosis"	"phenotype"
"26"	"C0001125"	"Acidosis, Lactic"	"phenotype"
"27"	"C0001126"	"Renal tubular acidosis"	"phenotype"
"28"	"C0001127"	"Acidosis, Respiratory"	"phenotype"
"29"	"C0001139"	"Acinetobacter Infections"	"group"
"30"	"C0001144"	"Acne Vulgaris"	"disease"
"31"	"C0001145"	"Acne Keloid"	"disease"
"32"	"C0001175"	"Acquired Immunodeficiency Syndrome"	"group"
"33"	"C0001193"	"Apert syndrome"	"disease"
"34"	"C0001197"	"Acrodermatitis"	"disease"
"35"	"C0001202"	"Acrokeratosis"	"disease"
"36"	"C0001206"	"Acromegaly"	"disease"
"37"	"C0001231"	"ACTH Syndrome, Ectopic"	"disease"
"38"	"C0001249"	"Actinobacillus Infections"	"disease"
"39"	"C0001261"	"Actinomycosis"	"group"
"40"	"C0001306"	"Acute alcoholic liver disease"	"disease"
"41"	"C0001308"	"Acute and subacute liver necrosis (disorder)"	"disease"
"42"	"C0001311"	"Acute bronchiolitis"	"disease"
"43"	"C0001338"	"Herpetic Acute Necrotizing Encephalitis"	"disease"
"44"	"C0001339"	"Acute pancreatitis"	"disease"
"45"	"C0001342"	"Acute periodontitis"	"disease"
"46"	"C0001344"	"Acute pharyngitis"	"disease"
"47"	"C0001349"	"Acute-Phase Reaction"	"phenotype"
"48"	"C0001361"	"Acute tonsillitis"	"disease"
"49"	"C0001363"	"Acute vascular insufficiency of intestine (disorder)"	"disease"
"50"	"C0001364"	"Massive Hepatic Necrosis"	"phenotype"
"51"	"C0001403"	"Addison Disease"	"disease"
"52"	"C0001416"	"Adenitis"	"phenotype"
"53"	"C0001418"	"Adenocarcinoma"	"group"
"54"	"C0001420"	"Papillary adenocarcinoma"	"disease"
"55"	"C0001422"	"Adenofibroma"	"disease"
"56"	"C0001429"	"Adenolymphoma"	"disease"
"57"	"C0001430"	"Adenoma"	"group"
"58"	"C0001432"	"Adenoma, Chromophobe"	"disease"
"59"	"C0001433"	"Adenoma, Acidophil"	"disease"
"60"	"C0001442"	"Adenosarcoma"	"disease"
"61"	"C0001486"	"Adenovirus Infections"	"group"
"62"	"C0001510"	"Postoperative adhesion"	"phenotype"
"63"	"C0001511"	"Tissue Adhesions"	"phenotype"
"64"	"C0001529"	"Adiposis Dolorosa"	"disease"
"65"	"C0001539"	"Adjustment disorder with depressed mood"	"disease"
"66"	"C0001546"	"Adjustment Disorders"	"group"
"67"	"C0001576"	"Adnexal Diseases"	"group"
"68"	"C0001614"	"Adrenal Cortex Diseases"	"group"
"69"	"C0001618"	"Tumors of Adrenal Cortex"	"group"
"70"	"C0001621"	"Adrenal Gland Diseases"	"group"
"71"	"C0001622"	"Adrenal Gland Hyperfunction"	"phenotype"
"72"	"C0001623"	"Adrenal gland hypofunction"	"phenotype"
"73"	"C0001624"	"Adrenal Gland Neoplasms"	"group"
"74"	"C0001627"	"Congenital adrenal hyperplasia"	"disease"
"75"	"C0001630"	"Adrenal Rest Tumor"	"disease"
"76"	"C0001676"	"Adult Antisocial Behavior"	"phenotype"
"77"	"C0001723"	"Affective Disorders, Psychotic"	"group"
"78"	"C0001726"	"Affective Symptoms"	"phenotype"
"79"	"C0001733"	"Afibrinogenemia"	"disease"
"80"	"C0001752"	"African swine fever"	"disease"
"81"	"C0001768"	"Agammaglobulinemia"	"disease"
"82"	"C0001787"	"Osteoporosis, Age-Related"	"disease"
"83"	"C0001807"	"Aggressive behavior"	"phenotype"
"84"	"C0001811"	"Aging"	"phenotype"
"85"	"C0001815"	"Primary Myelofibrosis"	"disease"
"86"	"C0001816"	"Agnosia"	"disease"
"87"	"C0001818"	"Agoraphobia"	"disease"
"88"	"C0001824"	"Agranulocytosis"	"disease"
"89"	"C0001825"	"Agraphia"	"disease"
"90"	"C0001828"	"Agricultural Workers' Diseases"	"group"
"91"	"C0001849"	"AIDS Dementia Complex"	"disease"
"92"	"C0001857"	"AIDS related complex"	"disease"
"93"	"C0001883"	"Airway Obstruction"	"group"
"94"	"C0001889"	"Akinetic Mutism"	"disease"
"95"	"C0001890"	"Akinetic Petit Mal"	"disease"
"96"	"C0001916"	"Albinism"	"disease"
"97"	"C0001925"	"Albuminuria"	"phenotype"
"98"	"C0001948"	"Alcohol consumption"	"phenotype"
"99"	"C0001956"	"Alcohol Use Disorder"	"disease"
"100"	"C0001957"	"Alcohol Withdrawal Delirium"	"disease"
"101"	"C0001969"	"Alcoholic Intoxication"	"disease"
"102"	"C0001973"	"Alcoholic Intoxication, Chronic"	"disease"
"103"	"C0002016"	"Aleutian Mink Disease"	"disease"
"104"	"C0002018"	"Alexia"	"disease"
"105"	"C0002020"	"Alexithymia"	"phenotype"
"106"	"C0002063"	"Alkalosis"	"phenotype"
"107"	"C0002064"	"Alkalosis, Respiratory"	"phenotype"
"108"	"C0002066"	"Alkaptonuria"	"disease"
"109"	"C0002103"	"Atopic rhinitis"	"disease"
"110"	"C0002136"	"Allogenic disease"	"disease"
"111"	"C0002152"	"Alloxan Diabetes"	"disease"
"112"	"C0002170"	"Alopecia"	"disease"
"113"	"C0002171"	"Alopecia Areata"	"disease"
"114"	"C0002312"	"alpha-Thalassemia"	"disease"
