"geneNID"	"geneId"	"geneNmea"	"geneDescription"	"pLI"	"DSI"	"DPI"
"1"	"1"	"A1BG"	"alpha-1-B glycoprotein"	"4.9917e-09"	"0.7"	"0.538"
"2"	"2"	"A2M"	"alpha-2-macroglobulin"	"4.5229e-11"	"0.529"	"0.769"
"3"	"3"	"A2MP1"	"alpha-2-macroglobulin pseudogene 1"			
"4"	"9"	"NAT1"	"N-acetyltransferase 1"	"1.9294e-14"	"0.536"	"0.846"
"5"	"10"	"NAT2"	"N-acetyltransferase 2"	"3.2744e-06"	"0.451"	"0.885"
"6"	"12"	"SERPINA3"	"serpin family A member 3"	"8.833e-14"	"0.486"	"0.846"
"7"	"13"	"AADAC"	"arylacetamide deacetylase"	"0.0029108"	"0.631"	"0.615"
"8"	"14"	"AAMP"	"angio associated migratory cell protein"	"0.76172"	"0.792"	"0.115"
"9"	"15"	"AANAT"	"aralkylamine N-acetyltransferase"	"0.002969"	"0.67"	"0.692"
"10"	"16"	"AARS1"	"alanyl-tRNA synthetase 1"	"1.8242e-08"	"0.647"	"0.462"
"11"	"17"	"AAVS1"	"adeno-associated virus integration site 1"		"0.595"	"0.731"
"12"	"18"	"ABAT"	"4-aminobutyrate aminotransferase"	"0.0063216"	"0.628"	"0.538"
"13"	"19"	"ABCA1"	"ATP binding cassette subfamily A member 1"	"1.4525e-13"	"0.467"	"0.846"
"14"	"20"	"ABCA2"	"ATP binding cassette subfamily A member 2"	"1"	"0.67"	"0.615"
"15"	"21"	"ABCA3"	"ATP binding cassette subfamily A member 3"	"6.6226e-08"	"0.592"	"0.615"
"16"	"22"	"ABCB7"	"ATP binding cassette subfamily B member 7"	"0.99994"	"0.678"	"0.385"
"17"	"23"	"ABCF1"	"ATP binding cassette subfamily F member 1"	"1.2823e-09"	"0.674"	"0.538"
"18"	"24"	"ABCA4"	"ATP binding cassette subfamily A member 4"	"5.3499e-48"	"0.493"	"0.769"
"19"	"25"	"ABL1"	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	"0.99998"	"0.432"	"0.923"
"20"	"26"	"AOC1"	"amine oxidase copper containing 1"	"6.7236e-08"	"0.628"	"0.769"
"21"	"27"	"ABL2"	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	"3.6365e-07"	"0.619"	"0.654"
"22"	"28"	"ABO"	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"		"0.427"	"0.885"
"23"	"29"	"ABR"	"ABR activator of RhoGEF and GTPase"	"0.62738"	"0.65"	"0.5"
"24"	"30"	"ACAA1"	"acetyl-CoA acyltransferase 1"	"3.5904e-09"	"0.729"	"0.462"
"25"	"31"	"ACACA"	"acetyl-CoA carboxylase alpha"	"1"	"0.48"	"0.846"
"26"	"32"	"ACACB"	"acetyl-CoA carboxylase beta"	"7.6499e-47"	"0.644"	"0.654"
"27"	"33"	"ACADL"	"acyl-CoA dehydrogenase long chain"	"1.743e-12"	"0.736"	"0.462"
"28"	"34"	"ACADM"	"acyl-CoA dehydrogenase medium chain"	"2.0548e-12"	"0.638"	"0.462"
"29"	"35"	"ACADS"	"acyl-CoA dehydrogenase short chain"	"2.8026e-06"	"0.663"	"0.538"
"30"	"36"	"ACADSB"	"acyl-CoA dehydrogenase short/branched chain"	"2.6565e-11"	"0.691"	"0.5"
"31"	"37"	"ACADVL"	"acyl-CoA dehydrogenase very long chain"	"4.2385e-15"	"0.653"	"0.654"
"32"	"38"	"ACAT1"	"acetyl-CoA acetyltransferase 1"	"9.8525e-08"	"0.538"	"0.692"
