 disease ,drug,zscore,,,
C4083212,DB01216,-1.914000978,1.615384615,1.847692308,0.121372818
C3495559,DB00005,-4.330111606,,,
C3495559,DB00051,-3.990984301,,,
C3495559,DB01281,-4.324784862,0.666666667,1.779666667,0.257353842
C2973725,DB00203,-0.109658616,,,
C2973725,DB00374,-2.751266951,,,
C2973725,DB00559,-0.790973927,1.5,1.681,0.228831816
C2973725,DB01088,-1.001148712,1.5,1.7195,0.219248147
C2973725,DB01240,-0.949284301,1,1.474,0.499323542
C2973725,DB06268,-1.68102103,1,1.76,0.452106182
C2973725,DB06403,-2.087019628,1.333333333,1.854,0.249478567
C2973725,DB08931,-2.21057688,1.5,1.95675,0.206620274
C2973725,DB08932,-2.24281103,1,1.7245,0.323032119
C2973725,DB11362,-0.949284301,1,1.474,0.499323542
C2607914,DB00145,2.070677359,,,
C2607914,DB00180,2.450145278,,,
C2607914,DB00201,0.988945605,,,
C2607914,DB00283,-0.015341105,,,
C2607914,DB00316,-0.951177186,,,
C2607914,DB00318,1.67848508,,,
C2607914,DB00332,-1.330882409,,,
C2607914,DB00341,-2.741434646,,,
C2607914,DB00366,-3.938538004,,,
C2607914,DB00388,1.49578123,,,
C2607914,DB00394,0.40558353,,,
C2607914,DB00397,0.272791795,,,
C2607914,DB00405,-3.938538004,,,
C2607914,DB00420,0.340234482,,,
C2607914,DB00427,-3.938538004,,,
C2607914,DB00434,-1.13275742,,,
C2607914,DB00443,0.665550069,,,
C2607914,DB00455,0.149715698,,,
C2607914,DB00471,2.971831009,,,
C2607914,DB00514,0.197417173,,,
C2607914,DB00557,1.094924466,2.125,1.98,0.132429226
C2607914,DB00588,-0.237356332,1,1.08,0.337045991
C2607914,DB00620,1.153861124,1.863636364,1.758636364,0.090998819
C2607914,DB00635,-0.478050442,1.741935484,1.782548387,0.084955268
C2607914,DB00637,-0.749932263,1.615384615,1.701230769,0.114471877
C2607914,DB00719,-5.71242447,0,1.886,0.330157538
C2607914,DB00741,-0.90637694,1.555555556,1.629833333,0.081950207
C2607914,DB00747,0.303774126,2,1.93,0.230434372
C2607914,DB00748,-3.737941634,1,1.9125,0.244118311
C2607914,DB00764,-1.074854955,1,1.3325,0.309344064
C2607914,DB00768,-5.71242447,0,1.886,0.330157538
C2607914,DB00792,-5.71242447,0,1.886,0.330157538
C2607914,DB00835,-5.71242447,0,1.886,0.330157538
C2607914,DB00852,1.60798257,1.941176471,1.782529412,0.098662176
C2607914,DB00860,0.670373247,1.833333333,1.770875,0.09316949
C2607914,DB00874,1.556724883,2.25,1.96725,0.181631323
C2607914,DB00885,-5.71242447,0,1.886,0.330157538
C2607914,DB00902,-5.71242447,0,1.886,0.330157538
C2607914,DB00950,-2.933829532,1.333333333,1.964666667,0.215190871
C2607914,DB00956,3.004566564,2.4,1.871,0.176065329
C2607914,DB00959,-2.894448644,1.266666667,1.5708,0.105074704
C2607914,DB00967,-4.204065289,1,1.82725,0.196773823
C2607914,DB00972,-5.71242447,0,1.886,0.330157538
C2607914,DB01003,2.280394039,2.333333333,2.012,0.14091132
C2607914,DB01114,0.255754571,2,1.9525,0.185724931
C2607914,DB01146,-1.963775916,1.5,2.015,0.262249881
C2607914,DB01176,-5.71242447,0,1.886,0.330157538
C2607914,DB01222,2.607334608,2.2,1.8834,0.121426686
C2607914,DB01234,-0.64043026,1.670886076,1.709341772,0.060046657
C2607914,DB01240,0.713395499,2,1.653,0.486406209
C2607914,DB01246,-5.71242447,0,1.886,0.330157538
C2607914,DB01260,-1.104545687,1,1.252,0.2281481
C2607914,DB01364,2.154287753,2,1.508,0.228381747
C2607914,DB01380,-0.237356332,1,1.08,0.337045991
C2607914,DB01410,-0.243567827,1.333333333,1.379666667,0.190227641
C2607914,DB01411,-0.52262815,2,2.252,0.48217839
C2607914,DB01619,-5.71242447,0,1.886,0.330157538
C2607914,DB01620,-5.71242447,0,1.886,0.330157538
C2607914,DB04837,-5.71242447,0,1.886,0.330157538
C2607914,DB06282,-5.71242447,0,1.886,0.330157538
C2607914,DB06691,0.125537505,2,1.981714286,0.145659373
C2607914,DB07615,-0.961283709,1.7,1.8229,0.127849873
C2607914,DB08799,-1.963775916,1.5,2.015,0.262249881
C2607914,DB08906,-0.237356332,1,1.08,0.337045991
C2607914,DB09488,-5.71242447,0,1.886,0.330157538
C2607914,DB09555,-5.71242447,0,1.886,0.330157538
C2239176,DB00398,-7.911740661,,,
C1961112,DB00841,-2.527305011,1,1.679,0.268665633
C1961099,DB01280,-1.274626187,1,1.619,0.485632577
C1621958,DB00112,-6.556199419,,,
C1527336,DB00860,1.006875584,1.875,1.795041667,0.079412327
C1384606,DB00286,-0.751083745,,,
C1384606,DB00890,1.301082938,2,1.803,0.151412331
C1384606,DB04938,0.204136985,1.75,1.7045,0.222889547
C1384600,DB06168,-4.165209715,0,1.789,0.429510186
C1336708,DB00290,0.412968067,,,
C1336708,DB00515,-1.036366391,,,
C1336708,DB01181,2.547296481,2.111111111,1.772666667,0.132864175
C1336708,DB09110,0.814796607,2,1.601,0.489692761
C1269683,DB00215,-8.755897102,,,
C1269683,DB00285,-7.280800893,,,
C1269683,DB00334,-7.064526897,,,
C1269683,DB00370,-7.078240048,,,
C1269683,DB00472,-6.438937943,,,
C1269683,DB00476,-3.197708041,,,
C1269683,DB00656,-4.69340928,0.692307692,1.304615385,0.130461176
C1269683,DB00715,-8.132309389,0.52173913,1.365347826,0.10373544
C1269683,DB00752,-3.815593423,0,1.568,0.410945252
C1269683,DB01037,-4.805097157,0.777777778,1.605888889,0.172340139
C1269683,DB01149,-8.227948439,0.1,1.3748,0.154935341
C1269683,DB01156,-6.132314168,0.647058824,1.387705882,0.120777742
C1269683,DB01175,-6.949846255,0.666666667,1.4695,0.115518143
C1269683,DB01247,-2.891637332,0.666666667,1.601666667,0.32334622
C1269683,DB06148,-2.670367734,0.9,1.283,0.143425939
C1269683,DB06594,-2.790959471,0.6,1.0856,0.173990345
C1269683,DB06684,-1.221565527,1,1.4935,0.403989789
C1269683,DB06700,-5.371554178,0.4,1.5108,0.206793037
C1269683,DB08918,-4.060891813,0,1.4765,0.363590085
C1269683,DB09068,-5.559832324,0.333333333,1.471666667,0.204742386
C1269683,DB09128,-4.806825182,0.4,1.475,0.223640336
C1263846,DB00182,-1.834899411,,,
C1263846,DB00289,-2.657204425,,,
C1263846,DB00422,-2.065079435,,,
C1263846,DB00575,-0.138354469,1.555555556,1.577888889,0.161421119
C1263846,DB01018,-0.523162181,1.4,1.4838,0.160179774
C1263846,DB01255,-1.269021157,1.25,1.57675,0.257481917
C1263846,DB01576,-2.805573158,1.166666667,1.732666667,0.201741309
C1263846,DB01577,-5.294896885,0.92,1.40844,0.092247311
C1263846,DB06701,-4.304898485,0,1.6345,0.37968375
C1261473,DB06589,-4.979024754,0.902439024,1.244756098,0.068751832
C1260899,DB00443,1.061092813,,,
C1260899,DB00620,2.056578246,1.909090909,1.726136364,0.088960654
C1260899,DB00635,1.021961834,1.838709677,1.754064516,0.082826147
C1260899,DB00741,0.296443914,1.611111111,1.587527778,0.079554115
C1260899,DB00858,-0.192931031,1,1.059,0.305808764
C1260899,DB00860,1.12929843,1.833333333,1.735083333,0.087000918
C1260899,DB00959,-0.675627477,1.466666667,1.538466667,0.106271581
C1260899,DB01234,1.119206382,1.734177215,1.671240506,0.056233336
C1260899,DB01380,-0.17941408,1,1.055,0.306553421
C1260899,DB06412,-1.939951424,1.333333333,1.588666667,0.131618416
C1140680,DB00441,-2.132277522,,,
C1140680,DB00488,0.659413479,,,
C1140680,DB00515,-6.66392722,,,
C1140680,DB00958,-6.47357768,0.891891892,1.1855,0.045354844
C1140680,DB00997,-5.580552937,0.989130435,1.251630435,0.04703835
C1140680,DB01005,0.411981263,1.285714286,1.240857143,0.108881512
C1140680,DB01030,-5.655251971,0.666666667,1.237666667,0.100968092
C1140680,DB01042,-3.896779561,0.842105263,1.223684211,0.097921615
C1140680,DB01229,-6.237763364,0.90625,1.169135417,0.042144179
C1140680,DB04572,-3.363114761,0.875,1.313875,0.130496588
C1140680,DB05109,-3.378478274,0.333333333,1.07,0.218046886
C1140680,DB09074,-9.954172967,0.407407407,1.051444444,0.064700206
C0948896,DB00624,-1.267982751,1.714285714,1.801971429,0.069153712
C0948089,DB00063,-4.386879114,,,
C0948089,DB00264,-2.482212809,,,
C0948089,DB00758,-6.2610022,1.368421053,1.910368421,0.086559204
C0948089,DB00775,-4.386879114,0.8,1.6784,0.200233464
C0948089,DB06209,-6.040312359,1.125,1.930875,0.133416114
C0948089,DB08816,-6.899194167,1,1.983285714,0.142521821
C0948008,DB00009,-6.117114991,,,
C0917801,DB00189,-5.769640976,,,
C0917801,DB00231,-4.330439595,,,
C0917801,DB00237,-3.407075774,,,
C0917801,DB00306,-5.586626281,,,
C0917801,DB00312,-5.586626281,,,
C0917801,DB00402,-5.180857435,,,
C0917801,DB00418,-3.407075774,,,
C0917801,DB00425,-1.428369157,,,
C0917801,DB00690,-5.033031936,1.631578947,2.071210526,0.087349253
C0917801,DB00897,-4.45519963,1.642857143,1.969214286,0.073253091
C0917801,DB01031,0.092002657,2,1.968,0.347816043
C0917801,DB01075,2.850195697,2.428571429,2.030714286,0.139589412
C0917801,DB01107,-5.769640976,1.5,2.071785714,0.099102477
C0917801,DB01142,-0.600711776,1.888888889,1.946333333,0.095627299
C0917801,DB01198,-2.75852718,1.6,2.0334,0.157112826
C0917801,DB01351,-3.539580271,1,1.97,0.274043792
C0917801,DB01353,-3.412866752,1.6,2.0343,0.127253723
C0917801,DB01437,-4.681679642,1.6,2.083066667,0.103182341
C0917801,DB01588,-4.448624209,1.6,2.00595,0.091252931
C0917801,DB01589,-5.098418334,1.611111111,2.08,0.09196752
C0917801,DB01595,-5.393140031,1.631578947,2.117421053,0.090085201
C0917801,DB01615,0.257774918,2,1.91,0.349141805
C0917801,DB09034,-0.433315379,2,2.198,0.456942009
C0917798,DB00312,1.799000967,,,
C0917798,DB00692,2.349386933,1.888888889,1.542222222,0.147556225
C0917798,DB01113,-1.660892415,1.4,1.5752,0.10548546
C0870082,DB00755,-0.459655829,1.428571429,1.469964286,0.090051849
C0855095,DB09054,-2.153939128,1,1.54075,0.251051663
C0740394,DB00049,0.809370258,,,
