disease,drug,zscore,d,mean,sd
C0030193,DB00635,-3.7351366951175904,1.1935483870967742,1.5054193548387098,0.08349653391523792
C0036341,DB00332,0.3125617392360236,1.0,0.911,0.28474374444401757
C0030920,DB04837,0.024921379377818603,2.0,1.994,0.24075713904264603
C0029456,DB06774,-1.984724423934266,1.2,1.4289333333333332,0.11534766770266514
C0010200,DB01203,0.5085922840458962,1.75,1.65675,0.18334922279628024
C0917801,DB00341,0.10369555622575129,2.0,1.9814,0.17937123515212805
C0010346,DB01165,-2.7042338221163496,1.1818181818181819,1.542090909090909,0.13322543499244288
C0011616,DB01222,-0.6330193547575397,1.8,1.8762999999999999,0.1205334393436112
C0023449,DB01219,0.8733967041332401,1.875,1.747375,0.14612489307096171
C0023449,DB06782,0.006310673084920441,1.6,1.5988000000000002,0.19015404281792175
C0011616,DB06702,0.5575133916669176,2.0,1.9100000000000001,0.16143109985377663
C0030920,DB00959,-1.1585401717971453,1.6666666666666667,1.7793333333333339,0.09724882175807238
C2973725,DB00860,-0.17922135866003153,1.625,1.6408333333333336,0.0883451249991255
C0023467,DB00588,0.4573727613285694,1.0,0.827,0.37824727361872684
C0023487,DB01331,0.870560222662323,2.0,1.7943333333333336,0.23624634035966216
C0281361,DB00263,-1.1163759352977956,1.25,1.4905,0.21542922271595372
C0040053,DB01330,0.8386238203161842,2.0,1.8926666666666667,0.12798746080556794
C0020538,DB00839,-2.105181439130707,0.8571428571428571,1.2302857142857144,0.17724973734185082
C0235063,DB00860,-1.1707684400140161,1.875,1.9685416666666666,0.07989766675427873
C0020538,DB00443,-3.4533149305256265,0.5555555555555556,0.9904444444444445,0.1259337470338087
C0030920,DB00788,-4.381540969241965,1.5833333333333333,2.06275,0.1094173648111771
C0011615,DB01169,0.7344475578466543,2.0,1.7815,0.297502520997722
C0036341,DB06168,-2.9041967419151447,0.0,0.896,0.30851904317237866
C0014175,DB00916,-1.286036435345811,1.25,1.572,0.2503817085970938
C0041327,DB00725,1.8039676974173353,2.5,2.16275,0.18694902380060724
